,aapl,meta,goog,nflx,amzn,msft,nvda,amd,intc
0,2023-10-25,2023-10-24,2023-07-24,2023-10-16,2023-10-25,2023-10-23,2023-11-14,2023-10-30,2023-10-25
1,2023-07-26,2023-07-25,2023-04-24,2023-07-17,2023-07-26,2023-07-24,2023-08-22,2023-07-31,2023-07-26
2,2023-04-26,2023-04-25,2023-01-30,2023-04-17,2023-04-26,2023-04-24,2023-05-23,2023-05-01,2023-04-26
3,2023-01-25,2023-01-31,2022-10-25,2023-01-18,2023-02-01,2023-01-23,2023-02-14,2023-01-30,2023-01-24
4,2022-10-27,2022-10-26,2022-07-26,2022-10-18,2022-10-27,2022-10-25,2022-11-16,2022-11-01,2022-10-27
5,2022-07-28,2022-07-27,2022-04-26,2022-07-19,2022-07-28,2022-07-26,2022-08-24,2022-08-02,2022-07-28
6,2022-04-28,2022-04-27,2022-02-01,2022-04-19,2022-04-28,2022-04-26,2022-05-25,2022-05-03,2022-04-28
7,2022-01-27,2022-02-02,2021-10-26,2022-01-20,2022-02-03,2022-01-25,2022-02-16,2022-02-01,2022-01-26
8,2021-10-28,2021-10-25,2021-07-27,2021-10-19,2021-10-28,2021-10-26,2021-11-17,2021-10-26,2021-10-21
9,2021-07-27,2021-07-28,2021-04-27,2021-07-20,2021-07-29,2021-07-27,2021-08-18,2021-07-27,2021-07-22
10,2021-04-28,2021-04-28,2021-02-02,2021-04-20,2021-04-29,2021-04-27,2021-05-26,2021-04-27,2021-04-22
11,2021-01-27,2021-01-27,2020-10-29,2021-01-19,2021-02-02,2021-01-26,2021-02-24,2021-01-26,2021-01-21
12,2020-10-29,2020-10-29,2020-07-30,2020-10-20,2020-10-29,2020-10-27,2020-11-18,2020-10-27,2020-10-22
13,2020-07-30,2020-07-30,2020-04-28,2020-07-16,2020-07-30,2020-07-22,2020-08-19,2020-07-28,2020-07-23
14,2020-04-30,2020-04-29,2020-02-03,2020-04-21,2020-04-30,2020-04-29,2020-05-21,2020-04-28,2020-04-23
15,2020-01-28,2020-01-29,2019-10-28,2020-01-21,2020-01-30,2020-01-29,2020-02-13,2020-01-28,2020-01-23
